SA2_MAINCODE_2016,Med_ag_pe_In_pe_hh_In_p,Me_ag_ps_N_In_ps_ot_hh,Med_age_psns_Tot,Me_p_in_wk_In_ps_hh_In_ps,Me_ps_in_wk_No_In_ps_ot_hh,Med_psnl_inc_wk_Tot,Me_hh_in_wk_In_ps_hh_In_ps,Me_hh_in_wk_No_In_ps_ot_hh,Med_hhd_inc_wk_Tot,Me_mo_re_mt_In_ps_hh_In_ps,Me_mo_re_mt_No_In_ps_ot_hh,Med_mort_repay_mth_Tot,Me_re_wk_In_ps_hh_Ind_psns,Me_re_wk_No_In_psns_oth_hh,Med_rent_wk_Tot,Av_N_p_pe_be_In_ps_hh_w_In_p,Av_Nu_ps_pe_be_No_In_ps_ot_hh,Avg_Nu_psns_per_bed_Tot,Av_hh_si_In_ps_hh_wi_Ind_psns,Avg_hh_si_No_Ind_psn_othr_hhd,Avg_household_size_Tot,P_d_n_x_b_In_ps_hh_w_In_p,P_d_n_x_b_No_In_p_oth_hh,P_d_n_x_b_Tot
214021378,18,52,52,575,774,773,1375,1717,1715,0,2000,2000,0,300,300,0.6,0.7,0.7,4,2.5,2.5,0,1,1
214021379,23,41,41,613,628,628,1125,1176,1175,1432,1582,1573,271,280,280,1,0.8,0.8,3,2.4,2.4,7.1,2.1,2.2
214021380,21,47,47,388,626,625,1062,1203,1203,1891,1733,1733,253,336,335,0.9,0.8,0.8,2.7,2.3,2.3,7.9,1.4,1.5
214021381,20,44,44,450,761,760,1312,2034,2030,1893,2200,2200,320,430,428,0.8,0.8,0.8,2.6,2.8,2.8,0,0.7,0.7
214021382,24,43,43,574,728,727,1937,1705,1707,2284,2000,2000,400,400,400,1,0.8,0.8,3.2,2.7,2.7,0,0.9,1
214021383,29,51,51,469,594,593,1375,1094,1096,1400,1640,1635,295,300,300,0.9,0.7,0.7,3.2,2.2,2.2,6.7,1.4,1.4
214021384,22,52,52,476,512,511,1093,927,930,1509,1517,1517,305,285,285,1,0.7,0.7,2.8,2.1,2.1,4.2,1.6,1.6
214021385,23,41,40,630,667,667,1531,1478,1479,1647,1600,1600,328,323,323,1,0.8,0.8,3.3,2.7,2.7,9.5,1.7,1.8
215011386,33,45,45,443,563,561,949,1000,998,910,1078,1066,185,200,200,0.8,0.7,0.7,2.9,2.2,2.2,0,2.3,2.4
215011387,15,48,48,280,566,564,780,1012,1006,424,1000,975,0,98,100,0.9,0.7,0.7,3.7,2.3,2.3,0,1.4,1.6
215011388,18,41,41,454,623,621,916,1108,1102,1192,1200,1200,190,205,200,0.9,0.7,0.7,2.8,2.3,2.3,6.2,1.3,1.4
215011389,34,45,45,425,601,600,725,1155,1146,650,1100,1100,115,120,120,1,0.8,0.8,2.6,2.5,2.5,0,1.1,1.1
215011390,28,50,49,425,509,508,833,929,928,880,758,758,149,130,130,1,0.7,0.7,2.9,2.2,2.2,0,1.6,1.6
215011391,42,52,52,362,479,479,769,847,845,932,867,867,200,140,140,0.8,0.7,0.7,2.2,2.1,2.1,0,1.7,1.7
215011392,21,47,47,366,541,538,1016,973,973,943,1000,1000,165,175,175,1,0.7,0.7,3.1,2.2,2.2,0,1.5,1.6
215011393,46,49,49,441,551,549,649,968,966,725,737,737,0,80,80,0.6,0.7,0.7,1.3,2.2,2.2,0,1.2,1.2
215011394,26,51,51,335,492,491,725,889,881,600,672,662,160,130,133,0.9,0.7,0.7,2.8,2.2,2.2,10,1.2,1.3
215021395,25,42,41,508,624,621,1053,1298,1290,1300,1317,1311,203,200,200,1,0.8,0.8,3.5,2.7,2.7,6.2,1.9,2
215021396,21,44,43,425,532,529,1107,1053,1056,1300,1083,1083,195,180,180,1,0.8,0.8,3.4,2.5,2.6,10.5,3,3.3
215021398,25,47,47,550,571,570,825,1034,1019,900,900,900,160,100,100,0.8,0.7,0.7,2.7,2.3,2.3,0,2.4,2.4
215021399,20,42,42,387,546,542,793,1094,1083,910,1083,1083,198,185,190,0.9,0.8,0.8,3.1,2.5,2.5,6.3,3.7,3.8
215021469,19,39,38,424,537,530,756,993,975,1090,1127,1127,210,220,220,1.1,0.8,0.8,3.2,2.3,2.3,12.3,3.3,3.9
215021470,20,41,40,413,571,566,986,1091,1087,1387,1300,1300,219,250,250,1,0.8,0.8,3.1,2.4,2.4,9.5,2.3,2.5
215031400,18,51,51,377,474,473,746,842,839,553,693,693,160,120,120,0.8,0.7,0.7,2.2,2.2,2.2,0,1.5,1.6
215031401,22,50,50,377,497,496,790,925,923,835,997,997,150,140,140,1,0.7,0.7,3.3,2.3,2.3,8.2,1,1.2
215031402,21,50,49,471,503,502,1016,881,886,812,975,975,190,170,170,0.8,0.7,0.7,2.8,2.1,2.2,0,1.8,1.8
215031403,24,38,37,439,556,547,769,1111,1085,1083,1083,1083,175,180,177,1,0.9,0.9,2.9,2.7,2.7,9.2,7,7.2
215031404,20,40,39,491,608,604,1076,1099,1098,1214,1292,1285,185,200,200,1,0.8,0.8,3.1,2.3,2.3,6.5,2.8,2.9
215031405,20,45,45,369,552,546,1075,1091,1091,1083,975,980,163,140,150,1.1,0.8,0.8,3.1,2.5,2.5,9,2.3,2.6
216011406,23,44,44,457,612,606,882,1157,1144,1509,1365,1387,218,250,250,1,0.8,0.8,3,2.4,2.4,9.5,1.7,2
216011407,21,45,44,332,555,551,877,1073,1066,1188,1300,1300,180,185,185,0.9,0.8,0.8,3,2.4,2.4,4.5,1.8,1.9
216011408,22,44,44,466,577,576,1333,1190,1193,1000,1300,1253,180,140,145,1.2,0.8,0.8,3.4,2.6,2.6,13.8,1.7,2
216011409,22,49,49,462,528,527,687,1007,1002,1196,1192,1192,180,170,170,0.8,0.7,0.7,2.5,2.3,2.3,0,1.5,1.5
216011410,26,51,51,408,479,478,749,917,913,1153,1000,1000,183,150,155,0.9,0.7,0.7,2.9,2.2,2.2,0,2.3,2.5
216021411,23,47,46,444,504,503,725,966,959,1365,1300,1300,180,200,200,1,0.8,0.8,2.6,2.3,2.3,8.8,3,3.2
216021412,33,48,48,612,545,547,1199,1126,1130,1545,1192,1200,0,150,150,0.8,0.7,0.7,2.3,2.4,2.4,0,1.6,1.6
216021413,24,45,45,428,540,537,1036,1049,1048,1083,1105,1105,200,170,175,0.9,0.8,0.8,3,2.4,2.4,12,2.2,2.5
216021414,23,50,50,458,516,515,966,962,962,1300,1344,1343,245,240,240,1,0.7,0.7,3.3,2.3,2.3,11.4,1.4,1.5
216031415,22,43,42,432,561,553,859,1007,996,1232,1200,1200,210,200,200,1,0.8,0.8,3,2.2,2.3,11.4,2.8,3.4
216031416,21,38,38,441,637,630,911,1233,1221,1529,1300,1333,220,230,230,1,0.8,0.8,2.9,2.5,2.5,7.8,3.4,3.5
216031417,21,38,37,459,565,561,984,1152,1145,1315,1300,1300,209,240,235,0.9,0.8,0.8,2.8,2.6,2.6,6.7,4.4,4.4
216031418,19,43,42,420,642,639,1542,1405,1408,1300,1300,1300,195,180,180,0.9,0.8,0.8,2.8,2.7,2.7,0,2.2,2.1
216031419,26,43,43,489,577,576,1062,1165,1163,1409,1300,1300,223,195,200,0.9,0.8,0.8,3,2.5,2.5,5.2,2.1,2.2
217011420,28,50,50,551,538,538,1162,1023,1028,1083,1083,1083,161,140,140,0.9,0.7,0.7,2.7,2.2,2.3,7.4,1.7,1.9
217011421,21,46,45,520,575,574,890,1040,1035,1018,1083,1083,198,200,200,0.8,0.7,0.7,2.6,2.2,2.2,0,1.5,1.5
217011422,17,46,45,432,538,534,900,1057,1050,1213,1200,1200,196,200,200,1,0.7,0.7,3.2,2.2,2.2,9.4,1.7,2
217011423,19,47,47,350,588,584,817,1076,1068,433,867,867,120,100,100,1.1,0.7,0.7,2.7,2.4,2.4,0,1.1,1.2
217031471,21,50,49,450,519,519,1166,921,921,1170,1083,1083,0,200,200,0.7,0.7,0.7,2,2.2,2.2,0,1.7,1.7
217031472,23,43,42,445,579,577,819,1059,1055,1148,1276,1270,210,218,215,0.9,0.8,0.8,2.8,2.3,2.3,0,2.3,2.4
